Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
JOURNAL OF SUPERCOMPUTING,J SUPERCOMPUT,0920-8542,1573-0484,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",6307,2.557,0.77,4%,31/54,2.423,Q3,2.262,0.55,24/62,Q2,62.1,0.006,1.374,0.348,43.52,Q3,Q4,635,98.9%,3,5.1,628
IMAGE AND VISION COMPUTING,IMAGE VISION COMPUT,0262-8856,1872-8138,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",6254,3.86,0.99,3.59%,63/145,3.818,Q2,3.556,1,53/190,Q2,72.37,0.004,0.897,0.908,56.9,Q2,Q2,148,95.95%,11.3,4.6,142
Cluster Computing-The Journal of Networks Software Tools and Applications,CLUSTER COMPUT,1386-7857,1573-7543,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",6221,2.303,0.69,1.86%,115/164,2.252,Q3,1.946,1.044,118/246,Q2,52.24,0.007,1.45,0.297,30.18,Q3,Q4,252,97.22%,2.6,4.1,245
Science China-Information Sciences,SCI CHINA INFORM SCI,1674-733X,1869-1919,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",5794,7.275,1.05,0.78%,22/164,4.172,Q2,6.595,3.416,60/246,Q1,75.81,0.009,1.924,0.994,86.89,Q1,Q2,185,88.65%,2.8,5.4,164
Ad Hoc Networks,AD HOC NETW,1570-8705,1570-8713,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",5745,4.816,1.25,3.06%,47/164,3.865,Q2,4.495,1.099,45/246,Q1,81.91,0.005,1.049,0.615,71.65,Q2,Q2,181,98.34%,4.8,4.8,178
INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,INT J APPROX REASON,0888-613X,1873-4731,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",5461,4.452,0.83,6.52%,56/145,3.544,Q3,3.794,0.81,69/190,Q2,63.95,0.005,1.029,0.721,61.72,Q2,Q2,142,100%,7.1,10.2,142
JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,J INTELL ROBOT SYST,0921-0296,1573-0409,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",5397,3.129,0.72,12.57%,78/145,3.071,Q3,2.849,0.554,80/190,Q2,58.16,0.005,1.032,0.571,46.55,Q3,Q3,233,97.85%,5.6,6.5,228
WIRELESS COMMUNICATIONS & MOBILE COMPUTING,WIREL COMMUN MOB COM,1530-8669,1530-8677,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",5358,2.146,0.42,98.76%,120/164,2.052,Q4,1.978,0.351,165/246,Q3,33.13,0.005,1.014,0.309,27.13,Q3,Q4,1004,97.51%,3.7,4.2,979
Internet Research,INTERNET RES,1066-2243,1066-2243,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",5332,6.353,1.43,5.82%,28/164,7.596,Q1,5.775,0.733,33/246,Q1,86.79,0.004,0.928,1.243,83.23,Q1,Q1,105,92.38%,5.5,7.7,97
Artificial Intelligence in Medicine,ARTIF INTELL MED,0933-3657,1873-2860,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",5314,7.011,1.26,11%,32/145,6.678,Q1,6.605,1.048,33/190,Q1,82.89,0.005,1.06,1.152,78.28,Q1,Q2,147,92.52%,4.4,5.2,136
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,EUR J INFORM SYST,0960-085X,1476-9344,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",5259,9.011,2,22.82%,11/164,7.831,Q1,8.237,1.107,17/246,Q1,93.29,0.003,0.696,1.806,93.6,Q1,Q1,56,87.5%,9,8.4,49
JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,J VIS COMMUN IMAGE R,1047-3203,1095-9076,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",5233,2.887,0.87,0.68%,93/164,2.711,Q3,2.659,0.408,85/246,Q2,65.65,0.006,1.385,0.558,43.6,Q3,Q3,233,99.57%,4.8,5.6,232
WIRELESS NETWORKS,WIREL NETW,1022-0038,1572-8196,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",5232,2.701,0.7,3.11%,99/164,2.545,Q3,2.496,0.696,114/246,Q2,53.86,0.005,1.04,0.353,39.94,Q3,Q3,365,98.63%,3.1,4.9,360
BIOLOGICAL CYBERNETICS,BIOL CYBERN,0340-1200,1432-0770,"COMPUTER SCIENCE, CYBERNETICS - SCIE",5217,3.072,0.48,36.28%,13/24,2.232,Q3,2.739,0.659,14/32,Q2,57.81,0.001,0.203,0.608,47.92,Q3,Q2,44,86.36%,25.3,13.5,38
ACM Transactions on Intelligent Systems and Technology,ACM T INTEL SYST TEC,2157-6904,2157-6912,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",5126,10.489,2.24,0%,13/145,6.571,Q1,10.291,0.975,13/190,Q1,93.42,0.005,1.155,1.651,91.38,Q1,Q1,81,100%,6.7,5.3,81
DATA MINING AND KNOWLEDGE DISCOVERY,DATA MIN KNOWL DISC,1384-5810,1573-756X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",5039,5.406,0.87,34.47%,41/145,5.356,Q2,5.266,0.385,62/190,Q2,67.63,0.004,0.79,1.326,72.07,Q2,Q1,78,98.72%,9.9,8,77
JOURNAL OF COMPUTER AND SYSTEM SCIENCES,J COMPUT SYST SCI,0022-0000,1090-2724,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",4964,1.043,0.37,9%,51/54,1.256,Q4,0.889,0.223,51/62,Q4,18.55,0.002,0.499,0.68,6.48,Q4,Q2,94,100%,22.1,11.6,94
Electronic Commerce Research and Applications,ELECTRON COMMER R A,1567-4223,1873-7846,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",4943,5.622,1.24,3.56%,34/164,6.671,Q1,5.081,0.827,46/246,Q1,81.5,0.003,0.739,1.044,79.57,Q1,Q1,81,96.3%,6.2,6.1,78
CMC-Computers Materials & Continua,CMC-COMPUT MATER CON,1546-2218,1546-2226,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",4859,3.86,0.84,95.45%,69/164,3.653,Q2,3.279,1.197,92/246,Q2,62.8,0.004,0.772,0.412,58.23,Q2,Q3,922,99.24%,1.9,4.6,915
KNOWLEDGE AND INFORMATION SYSTEMS,KNOWL INF SYST,0219-1377,0219-3116,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",4789,2.531,0.62,8.63%,90/145,3.205,Q3,2.444,0.235,92/190,Q2,51.84,0.004,0.945,0.658,38.28,Q3,Q3,98,97.96%,6.2,7.9,96
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,INT J HUM-COMPUT INT,1044-7318,1532-7590,"COMPUTER SCIENCE, CYBERNETICS - SCIE",4681,4.92,0.98,8.87%,5/24,4.503,Q2,4.484,0.477,5/32,Q1,85.94,0.005,1.054,0.911,81.25,Q1,Q2,193,94.82%,4.7,8,183
IEEE Transactions on Dependable and Secure Computing,IEEE T DEPEND SECURE,1545-5971,1941-0018,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",4678,6.791,2.25,7.35%,6/54,7.271,Q1,6.599,3.387,5/62,Q1,92.74,0.005,1.041,1.41,89.81,Q1,Q1,204,100%,3.5,7.8,204
BEHAVIOUR & INFORMATION TECHNOLOGY,BEHAV INFORM TECHNOL,0144-929X,1362-3001,"COMPUTER SCIENCE, CYBERNETICS - SCIE",4675,3.32,0.6,8.71%,11/24,3.615,Q2,3.047,0.945,11/32,Q2,67.19,0.003,0.73,0.637,56.25,Q2,Q2,182,96.15%,6.5,8.2,175
COMPUTER JOURNAL,COMPUT J,0010-4620,1460-2067,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",4631,1.762,0.43,2.27%,41/54,1.518,Q4,1.648,0.395,44/62,Q3,29.84,0.002,0.451,0.349,25,Q4,Q3,228,99.12%,37.2,6.7,226
AUTONOMOUS ROBOTS,AUTON ROBOT,0929-5593,1573-7527,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",4629,3.255,0.87,21%,76/145,4.262,Q2,3.179,0.406,62/190,Q2,67.63,0.005,1.029,1.064,47.93,Q3,Q2,69,100%,7.4,6.6,69
IEEE Transactions on Services Computing,IEEE T SERV COMPUT,1939-1374,1939-1374,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",4592,11.019,3.02,1.28%,5/164,8.174,Q1,10.861,3.279,4/246,Q1,98.58,0.006,1.214,1.592,97.26,Q1,Q1,154,98.7%,3,8.6,152
Journal of the Association for Information Science and Technology,J ASSOC INF SCI TECH,2330-1635,2330-1643,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",4561,3.275,0.66,19.47%,84/164,3.697,Q2,2.956,0.468,120/246,Q2,51.42,0.007,1.46,0.903,49.09,Q3,Q2,124,97.58%,5.3,7.3,121
JOURNAL OF CHEMOMETRICS,J CHEMOMETR,0886-9383,1099-128X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",4544,2.5,0.65,11.91%,94/145,2.301,Q3,2.402,1.195,85/190,Q2,55.53,0.002,0.382,0.427,35.52,Q3,Q3,41,100%,13.4,10.7,41
IEEE Transactions on Affective Computing,IEEE T AFFECT COMPUT,1949-3045,1949-3045,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",4522,13.99,1.79,2.19%,8/145,11.447,Q1,13.634,3.585,22/190,Q1,88.68,0.005,1.101,2.465,94.83,Q1,Q1,82,97.56%,4.2,9.6,80
Journal of the Association for Information Systems,J ASSOC INF SYST,1536-9323,1558-3457,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",4419,5.346,1.2,0%,37/164,7.79,Q1,4.885,1.833,49/246,Q1,80.28,0.004,0.798,1.955,77.74,Q1,Q1,54,100%,8.8,10.9,54
IEEE INTELLIGENT SYSTEMS,IEEE INTELL SYST,1541-1672,1941-1294,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",4316,6.744,1.14,1.32%,34/145,6.617,Q1,6.616,2.364,37/190,Q1,80.79,0.003,0.686,1.401,76.9,Q1,Q1,66,100%,8.2,5.6,66
International Journal of Distributed Sensor Networks,INT J DISTRIB SENS N,1550-1477,1550-1477,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",4306,1.938,0.41,98.18%,123/164,1.69,Q4,1.896,0.299,171/246,Q3,30.69,0.004,0.758,0.268,25.3,Q3,Q4,107,93.46%,5.6,4.9,100
SIAM Journal on Imaging Sciences,SIAM J IMAGING SCI,1936-4954,NA,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",4235,1.938,0.81,2.87%,107/145,2.911,Q3,1.836,0.365,70/190,Q2,63.42,0.005,1.051,1.352,26.55,Q3,Q1,63,100%,8.5,9.7,63
Information,INFORMATION,NA,2078-2489,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",4158,NA,0.62,96.68%,NA,NA,NA,NA,NA,128/246,Q3,48.17,0.005,1.164,0.378,NA,NA,Q2,514,93.77%,2.3,6.4,482
INFORMATION SYSTEMS FRONTIERS,INFORM SYST FRONT,1387-3326,1572-9419,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",4156,5.261,1.51,22.78%,39/164,5.172,Q1,4.166,1.514,28/246,Q1,88.82,0.004,0.775,0.786,76.52,Q1,Q2,142,94.37%,4,7,134
International Journal of Machine Learning and Cybernetics,INT J MACH LEARN CYB,1868-8071,1868-808X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",4115,4.377,0.85,2.31%,57/145,3.764,Q2,3.862,0.637,64/190,Q2,66.58,0.005,1.098,0.597,61.03,Q2,Q3,234,99.15%,2.7,5.1,232
Nature Machine Intelligence,NAT MACH INTELL,NA,2522-5839,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",4060,25.898,3.92,3.77%,1/145,25.912,Q1,25.401,4.814,5/190,Q1,97.63,0.011,2.353,8.421,99.66,Q1,Q1,102,96.08%,1.9,4.3,98
NEURAL PROCESSING LETTERS,NEURAL PROCESS LETT,1370-4621,1573-773X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",4028,2.565,0.5,2.56%,88/145,2.501,Q3,2.231,0.563,112/190,Q3,41.32,0.004,0.878,0.451,39.66,Q3,Q3,286,99.3%,3.9,5.3,284
INFORMATION PROCESSING LETTERS,INFORM PROCESS LETT,0020-0190,1872-6119,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",3878,0.851,0.26,7.72%,155/164,0.852,Q4,0.826,0.164,198/246,Q4,19.72,0.002,0.476,0.384,5.79,Q4,Q3,116,100%,17.9,12.3,116
IEEE Transactions on Network and Service Management,IEEE T NETW SERV MAN,1932-4537,1932-4537,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",3860,4.758,1.29,3.36%,49/164,5.03,Q2,4.104,1.216,41/246,Q1,83.54,0.005,1.116,0.912,70.43,Q2,Q2,329,100%,2.9,5.2,329
Security and Communication Networks,SECUR COMMUN NETW,1939-0114,1939-0122,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",3840,1.968,0.45,98.78%,122/164,2.079,Q3,1.741,0.401,157/246,Q3,36.38,0.004,0.877,0.324,25.91,Q3,Q4,718,96.94%,4,4.3,696
International Journal of Fuzzy Systems,INT J FUZZY SYST,1562-2479,2199-3211,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",3795,4.085,1.01,1.91%,61/145,3.718,Q2,3.502,0.966,51/190,Q2,73.42,0.004,0.868,0.496,58.28,Q2,Q3,207,100%,3,5.2,207
IEEE Transactions on Control of Network Systems,IEEE T CONTROL NETW,2325-5870,2372-2533,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",3766,4.347,1.03,15.12%,57/164,5.08,Q1,4.024,0.757,63/246,Q2,74.59,0.011,2.391,2.003,65.55,Q2,Q1,169,100%,3.6,7.3,169
EVOLUTIONARY COMPUTATION,EVOL COMPUT,1063-6560,1530-9304,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",3763,4.766,1.07,4.55%,52/145,4.864,Q2,4.702,1.632,46/190,Q1,76.05,0.002,0.339,1.408,64.48,Q2,Q1,19,94.74%,18.3,9.8,18
IET Image Processing,IET IMAGE PROCESS,1751-9659,1751-9667,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",3675,1.773,0.41,29.26%,112/145,1.959,Q3,1.606,0.497,129/190,Q3,32.37,0.004,0.926,0.318,23.1,Q4,Q4,302,98.01%,3.1,4.9,296
IBM JOURNAL OF RESEARCH AND DEVELOPMENT,IBM J RES DEV,0018-8646,2151-8556,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",3625,2.605,0.65,0%,29/54,2.017,Q3,2.605,NA,32/62,Q2,49.19,0.001,0.226,0.479,47.22,Q3,Q3,NA,NA,33.3,NA,NA
NETWORKS,NETWORKS,0028-3045,1097-0037,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",3623,1.871,0.49,19.19%,39/54,3.84,Q2,1.698,0.814,39/62,Q3,37.9,0.004,0.769,1.314,28.7,Q3,Q1,59,98.31%,12.2,10.1,58
Journal of Optical Communications and Networking,J OPT COMMUN NETW,1943-0620,1943-0639,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",3529,4.508,1.37,8.15%,12/54,3.577,Q2,3.685,1.236,10/62,Q1,84.68,0.004,0.822,0.643,78.7,Q1,Q2,89,97.75%,4.3,3.9,87
PRESENCE-Virtual and Augmented Reality,PRESENCE-VIRTUAL AUG,1054-7460,1531-3263,"COMPUTER SCIENCE, CYBERNETICS - SCIE",3488,1.75,0.37,9.09%,19/24,1.835,Q4,1.75,0.143,17/32,Q3,48.44,0,0.083,0.477,22.92,Q4,Q3,7,100%,20.4,11.9,7
MOBILE NETWORKS & APPLICATIONS,MOBILE NETW APPL,1383-469X,1572-8153,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",3457,3.077,0.87,5.59%,22/54,2.92,Q2,3.011,1.115,21/62,Q2,66.94,0.003,0.713,0.436,60.19,Q2,Q3,192,99.48%,3.1,5.4,191
Foundations and Trends in Machine Learning,FOUND TRENDS MACH LE,1935-8237,1935-8245,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",3382,NA,6.47,0%,NA,NA,NA,NA,NA,1/190,Q1,99.74,0.003,0.655,17.832,NA,NA,Q1,6,83.33%,9.7,5.7,5
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,J STRATEGIC INF SYST,0963-8687,1873-1198,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",3271,14.682,2.61,17.74%,2/164,13.827,Q1,14.091,0.556,7/246,Q1,97.36,0.002,0.527,2.636,99.09,Q1,Q1,18,88.89%,7,10,16
MICROPROCESSORS AND MICROSYSTEMS,MICROPROCESS MICROSY,0141-9331,1872-9436,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",3067,3.503,0.66,1.44%,19/54,2.438,Q3,1.911,0.763,31/62,Q2,50.81,0.002,0.47,0.256,65.74,Q2,Q4,577,99.83%,1.8,5.1,576
IEEE Transactions on Cloud Computing,IEEE T CLOUD COMPUT,2168-7161,2168-7161,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",3065,5.697,2.07,6.47%,32/164,5.386,Q1,5.628,3.975,16/246,Q1,93.7,0.004,0.825,1.092,80.79,Q1,Q1,121,100%,2.9,8.4,121
INFORMATION SYSTEMS,INFORM SYST,0306-4379,1873-6076,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",3032,3.18,0.93,7.9%,85/164,2.992,Q3,2.932,0.762,76/246,Q2,69.31,0.002,0.461,0.574,48.48,Q3,Q3,130,97.69%,6.4,7.8,127
Journal of King Saud University-Computer and Information Sciences,J KING SAUD UNIV-COM,1319-1578,2213-1248,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",2994,9,1.49,99.32%,12/164,8.085,Q1,8.943,2.489,31/246,Q1,87.6,0.003,0.638,1.102,92.99,Q1,Q1,135,97.78%,2.5,8.6,132
Cognitive Computation,COGN COMPUT,1866-9956,1866-9964,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",2904,4.89,1.03,14.12%,49/145,4.597,Q2,4.604,1.765,48/190,Q2,75,0.003,0.623,0.77,66.55,Q2,Q2,183,97.27%,3.8,5,178
JOURNAL OF INFORMATION SCIENCE,J INF SCI,0165-5515,1741-6485,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",2900,2.462,0.81,6.48%,112/164,3.168,Q3,2.211,0.746,96/246,Q2,61.18,0.002,0.405,0.596,32.01,Q3,Q3,122,98.36%,8.4,7.5,120
International Journal of Neural Systems,INT J NEURAL SYST,0129-0657,1793-6462,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",2891,6.325,1.12,8.29%,36/145,5.815,Q2,4.246,1.701,40/190,Q1,79.21,0.002,0.514,0.93,75.52,Q1,Q2,67,95.52%,4.8,6.3,64
Communications of the Association for Information Systems,COMMUN ASSOC INF SYS,1529-3181,1529-3181,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",2887,NA,0.41,0%,NA,NA,NA,NA,NA,171/246,Q3,30.69,0.001,0.271,0.446,NA,NA,Q1,52,98.08%,10.6,9.4,51
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,WIRES DATA MIN KNOWL,1942-4787,1942-4795,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",2821,7.558,0.89,8.33%,29/145,9.569,Q1,7.462,0.5,61/190,Q2,68.16,0.004,0.816,2.21,80.34,Q1,Q1,40,27.5%,3.9,5.6,11
Future Internet,FUTURE INTERNET,NA,1999-5903,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",2736,NA,0.7,96.35%,NA,NA,NA,NA,NA,114/246,Q2,53.86,0.003,0.672,0.441,NA,NA,Q2,312,91.67%,2.6,4.7,286
IEEE Computational Intelligence Magazine,IEEE COMPUT INTELL M,1556-603X,1556-6048,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",2720,9.809,1.89,5.88%,15/145,14.238,Q1,9.723,1.238,17/190,Q1,91.32,0.003,0.673,3.265,90,Q1,Q1,21,95.24%,5.3,5.6,20
Peer-to-Peer Networking and Applications,PEER PEER NETW APPL,1936-6442,1936-6450,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",2707,3.488,1.01,3.15%,78/164,3.484,Q2,3.225,0.868,65/246,Q2,73.78,0.004,0.772,0.565,52.74,Q2,Q3,220,99.09%,2.6,4.4,218
COMPUTATIONAL LINGUISTICS,COMPUT LINGUIST,0891-2017,1530-9312,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",2694,7.778,2.51,98.36%,28/145,5.204,Q2,7.639,0.52,12/190,Q1,93.95,0.002,0.468,2.125,81.03,Q1,Q1,25,100%,13.1,7.3,25
Business & Information Systems Engineering,BUS INFORM SYST ENG+,2363-7005,1867-0202,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",2687,5.675,0.81,50.44%,33/164,8.429,Q1,5.06,1.267,96/246,Q2,61.18,0.002,0.465,1.479,80.18,Q1,Q1,30,100%,6,6.9,30
ONLINE INFORMATION REVIEW,ONLINE INFORM REV,1468-4527,1468-4535,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",2629,2.901,0.74,1.09%,92/164,3.452,Q3,2.576,0.51,108/246,Q2,56.3,0.002,0.469,0.626,44.21,Q3,Q2,104,94.23%,6,7.2,98
IEEE Transactions on Emerging Topics in Computing,IEEE T EMERG TOP COM,2168-6750,2168-6750,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",2617,6.595,2.08,4.36%,26/164,5.171,Q1,6.381,3.924,15/246,Q1,94.11,0.003,0.568,1.059,84.45,Q1,Q1,172,99.42%,2.3,7.4,171
Journal of Information Security and Applications,J INF SECUR APPL,2214-2126,2214-2134,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",2579,4.96,1.26,5.16%,44/164,4.379,Q2,4.675,0.864,44/246,Q1,82.32,0.003,0.685,0.659,73.48,Q2,Q2,220,99.55%,2.3,5.6,219
Algorithms,ALGORITHMS,NA,1999-4893,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",2576,NA,0.45,97.17%,NA,NA,NA,NA,NA,121/190,Q3,36.58,0.003,0.751,0.36,NA,NA,Q2,355,98.59%,2.9,7.2,350
ACM Transactions on Knowledge Discovery from Data,ACM T KNOWL DISCOV D,1556-4681,1556-472X,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",2538,4.157,1.01,0.69%,61/164,3.779,Q2,3.786,0.576,65/246,Q2,73.78,0.002,0.515,0.871,63.11,Q2,Q2,151,100%,6.5,6.8,151
Transactions of the Association for Computational Linguistics,T ASSOC COMPUT LING,NA,2307-387X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",2530,9.194,5.84,93.09%,19/145,NA,NA,8.622,0.578,2/190,Q1,99.21,0.004,0.916,NA,87.24,Q1,NA,90,100%,4.2,4.1,90
MACHINE VISION AND APPLICATIONS,MACH VISION APPL,0932-8092,1432-1769,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",2529,2.983,0.52,10.04%,80/145,2.526,Q3,2.769,0.585,110/190,Q2,42.37,0.002,0.404,0.476,45.17,Q3,Q3,106,100%,7.2,6.4,106
JOURNAL OF INFORMATION TECHNOLOGY,J INF TECHNOL-UK,0268-3962,1466-4437,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",2497,5.15,1.55,24.62%,41/164,8.101,Q1,4.675,1.04,27/246,Q1,89.23,0.002,0.374,1.853,75.3,Q1,Q1,25,96%,6.9,9.8,24
JOURNAL OF COMPUTER INFORMATION SYSTEMS,J COMPUT INFORM SYST,0887-4417,2380-2057,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",2490,3.317,0.89,1.61%,83/164,3.556,Q2,2.921,0.761,83/246,Q2,66.46,0.001,0.259,0.512,49.7,Q3,Q3,109,95.41%,8.2,8.9,104
Pervasive and Mobile Computing,PERVASIVE MOB COMPUT,1574-1192,1873-1589,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",2479,3.848,0.81,6.67%,70/164,3.053,Q3,3.704,0.729,96/246,Q2,61.18,0.002,0.51,0.528,57.62,Q2,Q3,69,100%,4.9,4.7,69
AI MAGAZINE,AI MAG,0738-4602,2371-9621,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",2474,2.524,0.31,0%,91/145,3.151,Q3,2.46,0.257,152/190,Q4,20.26,0.002,0.4,1.022,37.59,Q3,Q2,35,97.14%,13.2,4.9,34
JOURNAL OF SYSTEMS ARCHITECTURE,J SYST ARCHITECT,1383-7621,1873-6165,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",2467,5.836,1.4,7.14%,8/54,3.97,Q2,3.973,1.167,9/62,Q1,86.29,0.002,0.438,0.501,86.11,Q1,Q3,215,97.67%,2.6,5,210
KYBERNETES,KYBERNETES,0368-492X,1758-7883,"COMPUTER SCIENCE, CYBERNETICS - SCIE",2420,2.352,0.35,2.09%,16/24,2.158,Q3,1.854,0.524,19/32,Q3,42.19,0.002,0.337,0.248,35.42,Q3,Q4,252,96.83%,3.8,6.1,244
SIGMOD RECORD,SIGMOD REC,0163-5808,1943-5835,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",2409,1.432,0.38,0%,141/164,1.673,Q4,1.364,0.053,177/246,Q3,28.25,0.001,0.131,0.618,14.33,Q4,Q2,19,100%,21.2,5.1,19
ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM T INFORM SYST,1046-8188,1558-2868,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",2407,4.657,1.3,0%,54/164,4.279,Q2,4.414,0.907,40/246,Q1,83.94,0.002,0.382,0.919,67.38,Q2,Q2,43,100%,11.9,5.8,43
VLDB JOURNAL,VLDB J,1066-8888,0949-877X,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",2372,4.243,1.08,18.54%,14/54,3.771,Q2,4,0.676,15/62,Q1,76.61,0.002,0.533,1.199,75,Q2,Q1,71,100%,7.9,7.2,71
IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,IEICE T INF SYST,1745-1361,1745-1361,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",2362,0.695,0.22,99.78%,160/164,0.651,Q4,0.651,0.192,209/246,Q4,15.24,0.002,0.465,0.129,2.74,Q4,Q4,261,100%,5.9,6.4,261
